Market,State,Weeks,Periods,Month,Year,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U
Denver,Colorado,01/08/2021,P1,8,2021,96896.76143,351156.9426,77220.30263,457612.8273,1788.550274,160719.1043,19079.75209,55319.53386,14056.57623,80747.22543,447.8232743,27235.68661
Phoenix/Tucson,Arizona,01/08/2021,P1,8,2021,141650.0512,466567.1342,102997.3619,666479.8754,1815.479461,246085.4021,22229.69209,64707.67454,16756.77933,91923.16358,431.6556566,34219.91622
Boston,Massachusetts,01/08/2021,P1,8,2021,88911.7784,0,0,484167.7323,1446.425039,169662.196,12818.69656,0,0,65597.80089,327.7403959,18463.22681
Jacksonville,Florida,08/08/2021,P1,8,2021,41128.21925,136098.0961,28204.5849,212688.018,1688.895298,83538.49383,5434.37609,17679.47938,3427.610763,28674.34685,361.2571178,7788.225575
Wichita,Kansas,08/08/2021,P1,8,2021,28382.83005,0,0,128414.1713,1477.392414,44952.10068,1214.107729,0,0,5085.872542,253.2964424,1765.747533
Atlanta,Georgia,08/08/2021,P1,8,2021,112226.2184,0,0,589429.9058,1691.391101,231808.8756,15484.21627,0,0,75305.64413,369.9790903,22373.44903
Denver,Colorado,08/08/2021,P1,8,2021,97579.3219,300092.7058,68835.23999,460372.4818,1758.767488,160024.7893,18912.12276,65585.28222,16002.68584,78642.20474,443.5541567,27025.68802
Phoenix/Tucson,Arizona,08/08/2021,P1,8,2021,135772.1763,397065.641,88129.4609,644002.9088,1797.49587,234427.1265,18712.11945,50763.44665,12336.26208,84601.03333,424.5654564,28967.02582
Indianapolis,Indiana,08/08/2021,P1,8,2021,68392.93874,183843.9298,40516.32343,325656.2043,1600.533397,121057.0806,5160.710305,13452.07043,3258.739092,22417.28967,320.0509248,7717.163207
Louisville,Kentucky,08/08/2021,P1,8,2021,37738.86875,0,0,178595.676,1656.610563,67110.38718,3201.172089,0,0,13623.33298,349.3594076,4828.411039
Peoria/Springfield,Illinois,08/08/2021,P1,8,2021,56039.1842,170097.9656,37433.11431,270896.1526,1632.497211,94887.9771,3913.041531,10803.62109,2461.38733,18361.04915,298.8618794,6036.637591
San Diego,California,08/08/2021,P1,8,2021,57256.22008,181909.6632,37189.74158,293441.6665,1668.937731,103594.8492,11416.08868,36883.78957,8512.318963,52189.18403,380.2407015,17196.24339
Kansas City,Kansas,08/08/2021,P1,8,2021,67315.53712,191768.0565,48277.72137,299398.8207,1573.372627,102414.3668,3934.869002,5481.745691,1211.194902,20912.95115,266.7551917,5723.285821
Miami/Ft Lauderdale,Florida,08/08/2021,P1,8,2021,87192.81894,335110.9448,61805.53561,498891.8545,1611.445024,201229.5429,18782.72221,70923.28505,13005.27926,101209.7014,353.8744336,25964.33342
Birmingham/Montgomery,Alabama,08/08/2021,P1,8,2021,126467.795,0,0,646012.7796,1746.546516,246220.9173,11135.42769,0,0,55734.94918,304.8159533,16830.63518
Sacramento,California,08/08/2021,P1,8,2021,52755.70967,0,0,273534.7725,1809.307375,90431.12144,6630.019489,0,0,32842.91287,399.7362532,9672.60495
Des Moines,Iowa,08/08/2021,P1,8,2021,33771.19619,0,0,145265.4147,1640.77809,51275.93135,1510.991249,0,0,7792.543068,266.4129592,2196.986981
Tampa/St Petersburg,Florida,08/08/2021,P1,8,2021,87150.06252,295506.1447,60584.31364,446488.9463,1629.95694,174050.303,12183.21583,44857.34249,8331.998971,64953.86251,344.018374,17605.48426
Charlotte,Carolina del Norte,08/08/2021,P1,8,2021,80524.26314,0,0,387648.2292,1662.180858,149549.9051,9940.89631,0,0,46391.25114,321.8323612,14529.39571
Raleigh/Greensboro,Carolina del Norte,08/08/2021,P1,8,2021,97537.9332,0,0,462575.5905,1615.737085,179075.825,12039.61611,0,0,56557.95644,319.1028781,17647.6471
Boise,Idaho,08/08/2021,P1,8,2021,13474.63557,0,0,64577.6655,2047.443741,23118.10295,2198.23565,0,0,9445.50592,428.3334087,3124.142204
Chicago,Illinois,08/08/2021,P1,8,2021,221280.3017,756792.4923,163432.3981,1079588.984,1603.397046,403629.8388,18657.07618,58017.33641,14614.73234,79459.83919,308.2106058,27222.51288
Los Angeles,California,08/08/2021,P1,8,2021,325760.3465,1037735.877,214356.3311,1656608.954,1758.39213,576834.7269,34074.96441,97961.09881,23191.22359,158927.0077,378.3667023,53491.81095
South Carolina,Carolina del Sur,08/08/2021,P1,8,2021,147706.4652,0,0,719975.0589,1657.888246,285245.3294,15751.12422,0,0,77794.08888,312.840635,23486.96446
Hartford/Springfield,Massachusetts,08/08/2021,P1,8,2021,51593.77255,0,0,296294.9839,1376.243331,100604.4182,7745.727191,0,0,38303.65235,312.1769476,11467.76493
San Francisco/Oakland,California,08/08/2021,P1,8,2021,69085.38496,221684.2332,38951.27116,404377.8015,1736.722428,132998.8251,10684.90457,25718.23076,5264.563709,55213.45027,384.0207969,15671.05264
Orlando,Florida,08/08/2021,P1,8,2021,94372.84914,305266.6845,61926.20313,486116.5003,1631.958996,186838.6015,12470.48639,40064.64989,7676.265174,65032.89583,349.5298479,17703.21326
Boston,Massachusetts,08/08/2021,P1,8,2021,87479.58209,0,0,497438.4696,1439.008315,171762.7671,13986.78593,0,0,71539.15814,333.976446,20182.577
Little Rock,Arkansas,08/08/2021,P1,8,2021,29278.15888,0,0,140569.191,1800.244244,53888.22324,1855.432802,0,0,8642.37673,291.4274967,2894.239717
Indianapolis,Indiana,15/08/2021,P1,8,2021,69404.88242,194453.8274,39418.52431,344731.4991,1630.477054,122071.8225,5330.990784,12683.45239,2937.316424,24112.63148,296.8437596,7893.758667
Charlotte,Carolina del Norte,15/08/2021,P1,8,2021,61732.41222,0,0,343593.5358,1649.565325,117009.5589,9198.138486,0,0,44719.151,321.3997194,13461.00993
San Diego,California,15/08/2021,P1,8,2021,58034.87866,172704.7244,34032.38572,312199.8183,1649.377243,105922.6194,10395.91856,30556.08988,6927.29634,48445.24299,384.9683583,15680.68334
Miami/Ft Lauderdale,Florida,15/08/2021,P1,8,2021,84915.46044,269281.7384,54596.5246,460025.6235,1586.778064,185176.7116,22082.31232,71078.17942,15997.61265,101370.2708,353.5284267,30923.9317
Boise,Idaho,15/08/2021,P1,8,2021,15787.98959,0,0,72797.70469,2083.432814,26654.31771,1910.179907,0,0,9422.989654,404.7991909,2684.604347
Orlando,Florida,15/08/2021,P1,8,2021,88458.63727,244018.7063,52635.58181,444360.7859,1619.021086,177978.1691,14179.07119,43364.26137,9841.478438,63855.46578,343.9197155,20290.95113
Little Rock,Arkansas,15/08/2021,P1,8,2021,29022.25289,0,0,143938.179,1798.059111,53794.86119,1764.095757,0,0,8364.916637,292.3718052,2748.539265
Sacramento,California,15/08/2021,P1,8,2021,52325.40712,0,0,267946.6852,1775.19099,89358.02019,5354.231634,0,0,26704.81117,395.9908617,7813.356741
Wichita,Kansas,15/08/2021,P1,8,2021,27448.67387,0,0,129690.4006,1529.781094,44184.10858,2075.880494,0,0,9134.997619,275.9112152,3018.189228
Tampa/St Petersburg,Florida,15/08/2021,P1,8,2021,81749.96404,234555.6599,51862.66719,403338.3589,1625.519011,164870.3305,15251.96567,48589.43911,11082.2666,68796.94619,362.2414289,21985.99359
Raleigh/Greensboro,Carolina del Norte,15/08/2021,P1,8,2021,76851.09441,0,0,426557.7683,1593.21495,144272.0447,11581.96473,0,0,57341.50977,313.1891453,17029.38817
Hartford/Springfield,Massachusetts,15/08/2021,P1,8,2021,53507.86284,0,0,300264.9162,1408.044894,101463.3417,7127.906135,0,0,36272.84736,299.1161292,10540.37518
San Francisco/Oakland,California,15/08/2021,P1,8,2021,70733.89924,231416.5438,44470.78887,400607.9405,1733.629453,135126.4717,8869.800654,14092.90081,2935.190787,46232.94794,382.2886205,13047.19446
Denver,Colorado,15/08/2021,P1,8,2021,105084.8408,351907.6956,74424.68357,503589.8637,1773.642274,175004.6103,20155.05893,79192.7634,17960.86,89194.24923,443.3756896,28809.86098
Louisville,Kentucky,15/08/2021,P1,8,2021,39084.23091,0,0,195298.3282,1705.837408,70510.18788,3101.069427,0,0,13846.26641,338.0583707,4644.577348
