Market,State,Weeks,Periods,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U,TARTAS_KGS,TARTAS_PROMODOLLARS,TARTAS_PROMOKGS,TARTAS_DOLLARS,TARTAS_TDP,TARTAS_U,GALLETAS_KGS,GALLETAS_PROMODOLLARS,GALLETAS_PROMOKGS,GALLETAS_DOLLARS,GALLETAS_TDP,GALLETAS_U
Chicago,Illinois,25/07/2021,P1,192462.7259,692408.3271,133952.0888,1045569.912,1578.611439,367768.9288,18636.72544,40499.94349,8434.373739,96769.44214,305.3880179,27222.58237,262673.3773,1019205.825,205937.1097,1339990.033,3125.089484,504607.123,81751.73794,157533.6092,34556.245,398491.1682,822.5438767,106185.3947
Los Angeles,California,25/07/2021,P1,367636.8185,1271867.344,270721.7347,1818349.706,1783.930032,647924.749,34054.63566,102735.2365,22129.95355,163740.3342,372.3400581,52494.97417,429761.9095,1676717.305,294304.3341,2493810.245,3577.422738,874728.1469,96177.21518,247809.7471,54568.7534,441943.0305,817.7030361,123459.9621
Sacramento,California,25/07/2021,P1,51339.08641,0,0,268455.0515,1831.254114,87143.42317,8867.388148,0,0,41474.82347,398.7348009,12955.0307,73145.34391,0,0,419260.3169,3708.119839,141241.7032,26308.77365,0,0,118206.3543,957.5958157,33627.49438
Des Moines,Iowa,25/07/2021,P1,28045.13119,0,0,126953.9561,1590.317858,40349.59107,1283.436417,0,0,6739.816598,279.4434925,1865.759442,29263.58047,0,0,147792.6414,3837.272482,51788.69758,15555.62942,0,0,67614.60293,1002.073645,18429.12484
Jacksonville,Florida,25/07/2021,P1,32066.87093,66037.73577,13442.056,182455.7551,1705.032821,66380.14704,5389.009006,17032.96389,3398.883948,27228.81961,349.1560635,7583.820479,58564.51225,208650.4592,37006.8363,343522.4382,3735.789177,128053.5381,31117.62641,110418.2287,21920.37091,152889.7609,944.3798086,40636.42605
South Carolina,Carolina del Sur,25/07/2021,P1,130363.8321,0,0,688820.2301,1674.784788,253263.2338,14498.57402,0,0,73481.77377,312.0548377,21313.84021,202273.0046,0,0,1158523.555,3628.522212,428162.6056,98006.51488,0,0,468440.1526,901.4959462,128927.2902
Tampa/St Petersburg,Florida,25/07/2021,P1,68777.5934,161298.8292,31314.1729,381674.3981,1663.435205,137904.539,12693.59284,45217.73827,8460.973638,66066.58763,344.4363225,17905.12401,119656.2617,440594.0342,74680.78287,714384.9192,3543.70702,250865.6507,67644.57856,228235.0702,44869.20602,335684.0646,952.351238,88422.856
Raleigh/Greensboro,Carolina del Norte,25/07/2021,P1,74828.77293,0,0,404492.8515,1622.561667,137507.7993,10173.10657,0,0,51521.04268,309.1628965,14875.73467,102405.4855,0,0,592015.5219,3462.693204,204369.7278,56170.45294,0,0,263663.591,965.6584175,73208.95017
Hartford/Springfield,Massachusetts,25/07/2021,P1,50270.56434,0,0,282268.6798,1382.685846,98273.05094,6885.302152,0,0,35370.99505,306.7339427,10203.92284,76166.67403,0,0,436968.0854,2918.37584,148326.0021,50790.60677,0,0,245989.6437,892.8297315,66992.28119
San Francisco/Oakland,California,25/07/2021,P1,69405.78623,235016.963,45461.73768,381433.5549,1787.796132,132038.6056,16529.44568,60685.06899,13780.31178,75688.54034,380.0522978,24107.44681,100536.2713,342572.7714,54649.88467,643783.0675,3582.054046,212288.6714,38988.58753,108701.2914,24958.17857,176225.3415,917.1270068,51005.61256
Boise,Idaho,25/07/2021,P1,13579.26897,0,0,66886.3842,2067.144681,23390.36136,2295.174068,0,0,9523.282576,384.4989471,3278.264943,19235.89294,0,0,102064.3704,4169.048163,36466.58559,5122.985395,0,0,21102.8242,847.9615425,6767.932772
Denver,Colorado,25/07/2021,P1,99700.51532,378234.0449,81020.36351,478474.8519,1797.480163,165185.4574,18807.7093,68588.86302,15192.44097,84892.25489,452.9016456,26670.70316,142842.4264,513892.917,98804.89843,735988.3043,3859.32266,254862.7336,59766.35997,192445.6497,46507.63072,247267.6704,987.1005533,74659.46864
Phoenix/Tucson,Arizona,25/07/2021,P1,143381.4762,463824.2979,102271.6457,682675.6266,1791.043854,249697.1663,19157.73502,55987.25071,13076.67745,87040.83906,429.2430648,29483.43962,159095.9877,521587.8918,98972.30799,851761.0443,4028.271085,314131.0864,60729.47002,144339.8808,33825.71016,264778.254,906.8624083,78577.90985
Boston,Massachusetts,25/07/2021,P1,80962.03052,0,0,466088.1139,1453.319486,161772.1888,15061.14751,0,0,72749.85985,323.9671536,21816.23741,130815.0656,0,0,720266.2813,2955.045486,269904.6228,105368.0639,0,0,494100.553,894.5045667,144096.9929
Wichita,Kansas,01/08/2021,P1,28098.9892,0,0,128468.8137,1546.742758,44272.17905,1275.679632,0,0,5170.04277,249.7762384,1860.782882,32211.53651,0,0,163705.1837,3637.040288,59544.66361,11916.05251,0,0,46463.1956,762.7957887,16340.58237
Hartford/Springfield,Massachusetts,01/08/2021,P1,54932.34837,0,0,296458.8864,1377.295022,104934.0933,6910.627609,0,0,34863.12812,312.8538124,10297.90503,84777.61635,0,0,482903.5217,2960.014909,168282.96,52969.23901,0,0,249120.8723,888.2505917,68830.08878
Atlanta,Georgia,01/08/2021,P1,106782.1028,0,0,585396.537,1723.263157,223810.6302,15904.73807,0,0,75877.0488,375.4502543,22924.74862,177142.6046,0,0,1045482.709,3991.439838,393968.8812,81619.84747,0,0,382615.8279,932.0082208,107415.4895
